kode,yang_diverifikasi,cara,hasil,kesimpulan,catatan
"DPL-01","Build & migrasi database berhasil di production","Push ke GitHub -> Railway auto-build -> cek log startup","Build sukses (TypeScript check lolos, semua rute ter-generate). Kedua migrasi baru (add_document_references, document_title_trgm_index) diterapkan otomatis lewat 'prisma migrate deploy' saat start, tanpa error. Server siap dalam 149ms.","Lolos",""
"DPL-02","Situs bisa diakses setelah deploy","GET /login","HTTP 200","Lolos",""
"DPL-03","Login 5 akun demo dengan password baru (hasil rotasi sebelumnya)","Login masing-masing role, cek sesi berhasil","Superadmin, Team Leader, Engineer, Inspector, Client - semua berhasil login (sesi tersimpan)","Lolos",""
"DPL-04","Rute API baru (references, traceability) benar-benar ter-deploy","GET tanpa login ke kedua rute - harus 401 (rute ada), bukan 404 (rute hilang)","Keduanya membalas 401 seperti seharusnya. Catatan: log build Railway sempat tidak menampilkan kedua rute ini di ringkasan tabel rute - ternyata cuma keterbatasan tampilan log, rute-nya berfungsi normal.","Lolos","Sempat menimbulkan kekhawatiran di log build, makanya diverifikasi langsung ke endpoint hidup alih-alih percaya ringkasan log saja."
"DPL-05","RI-25 (Superadmin diblokir upload dokumen) berfungsi di production","Superadmin coba upload ke proyek uji sungguhan","HTTP 403, tidak ada dokumen tercipta","Lolos",""
"DPL-06","RI-19 (Inspector diblokir approve lewat /status) berfungsi di production","Inspector coba ubah status dokumen sungguhan jadi APPROVED","HTTP 403, status dokumen tidak berubah","Lolos",""
"DPL-07","Fitur baru: tautan dokumen (BASED_ON) berfungsi end-to-end di production","Team Leader buat 2 dokumen uji, tautkan satu ke lainnya, cek metrik traceability proyek","Tautan berhasil dibuat (HTTP 201), endpoint metrik traceability membalas angka yang masuk akal (totalReferences:1)","Lolos",""
"DPL-08","Batas unggah 200MB (sebelumnya gagal di atas ~10MB) berfungsi di production","Unggah berkas 50MB sungguhan ke proyek uji","HTTP 201 berhasil dalam 6,46 detik","Lolos",""
"DPL-08b","Batas unggah mendekati batas maksimal (150MB dari 200MB yang dijanjikan)","Unggah berkas 150MB sungguhan ke proyek uji terpisah, lalu dibersihkan","HTTP 201 berhasil dalam 19,89 detik","Lolos","Proyek & dokumen uji dihapus lagi setelahnya, situs tetap sehat (HTTP 200 di /login) sesudahnya."
"DPL-11","Ketahanan sistem terhadap beban bersamaan (5/10/20 pengguna) di production sungguhan","autocannon 30 detik per tingkat, GET /api/dashboard (baca saja, tidak mengubah data apa pun)","0 dari total request gagal/timeout di ketiga tingkat beban. Latensi p99 tertinggi 332ms (di 20 pengguna bersamaan).","Lolos","Lebih baik dari hasil di lingkungan uji lokal sebelumnya (yang sempat menunjukkan timeout) — kemungkinan besar karena konfigurasi database production berbeda dari database uji lokal. Situs dicek sehat (HTTP 200) sebelum dan sesudah pengujian ini."
"DPL-12","Ketahanan fitur pencarian terhadap beban bersamaan (5/10/20 pengguna) di production sungguhan","autocannon 30 detik per tingkat, GET pencarian dokumen (baca saja)","0 dari total request gagal/timeout di ketiga tingkat beban. Latensi p99 tertinggi 551ms (di 20 pengguna bersamaan).","Lolos","Situs dicek sehat sebelum dan sesudah pengujian ini — tidak ada error baru muncul di log production selama maupun setelah pengujian beban."
"DPL-09","Waktu respons endpoint utama masih wajar setelah deploy","GET dashboard, pencarian dokumen, daftar proyek (baca saja, data sungguhan)","Dashboard 250ms, pencarian 115ms, daftar proyek 77ms - semua di bawah 300ms","Lolos",""
"DPL-10","Data uji dibersihkan total, tidak ada sisa di data production sungguhan","Cek daftar proyek untuk nama berawalan ZZZ- (penanda proyek uji)","0 proyek uji tersisa","Lolos","Setiap pengujian di production memakai proyek/dokumen yang dibuat sendiri lalu dihapus lagi di akhir - tidak pernah menyentuh data pengguna sungguhan."
